"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2593.3468","1893","4690","LineString","166.38","59",3468,2593,-72.163,41.1894,-74.3731,39.4199,2015-07-13,2015-07-15
"2593.3577","1811","4690","LineString","166.38","38",3577,2593,-71.552704,41.1532,-74.3731,39.4199,2015-08-13,2015-08-13
"2595.2595","5434","18950","LineString","166.38","29",2595,2595,-73.10374,41.15339,-73.10374,41.15339,2015-10-18,2015-10-27
"2595.2596","4467,7729","16820,4980","LineString","166.38","82,86",2596,2595,-72.54956,41.25978,-73.10374,41.15339,2015-10-03,2015-11-11
"2595.2622","7749,7735,7729","4980,4980,4980","LineString","166.38","82",2622,2595,-67.2661,45.1257,-73.10374,41.15339,2015-11-10,2016-03-29
"2595.2632","7741","4980","LineString","166.38","82",2632,2595,-67.2915,45.1358,-73.10374,41.15339,2015-11-11,2015-11-15
"2595.2729","7739,7749","4980,4980","LineString","166.38","82",2595,2729,-73.10374,41.15339,-79.5371,44.0241,2015-11-11,2016-01-11
"2595.3456","1764","4690","LineString","166.38","38",2595,3456,-73.10374,41.15339,-74.3228,39.5097,2015-09-13,2015-09-13
"2595.3468","7310,1764,5434","4690,4690,18950","LineString","166.38","29,38,66",3468,2595,-72.163,41.1894,-73.10374,41.15339,2015-08-06,2015-10-18
"2595.4020","7739","4980","LineString","166.38","82",4020,2595,-70.8393,43.0752,-73.10374,41.15339,2015-11-09,2015-11-15
"2596.2596","2564,5433,5437,5437,5437,5437","15560,18950,18950,18950,18950,18950","LineString","166.38","29,49",2596,2596,-72.54956,41.25978,-72.54956,41.25978,2015-10-09,2015-10-23
"2596.2622","7729,7745,7733,7730","4980,4980,4980,4980","LineString","166.38","82",2622,2596,-67.2661,45.1257,-72.54956,41.25978,2015-11-11,2016-05-10
"2596.2627","5427","18950","LineString","166.38","29",2596,2627,-72.54956,41.25978,-74.3507,39.4189,2015-10-23,2015-11-03
"2596.2632","7733","4980","LineString","166.38","82",2632,2596,-67.2915,45.1358,-72.54956,41.25978,2015-11-23,2015-11-25
"2596.2669","4462","16820","LineString","166.38","86",2669,2596,-66.0124,43.4001,-72.54956,41.25978,2015-10-10,2015-10-13
"2596.2830","5437,7734","18950,4980","LineString","166.38","29,82",2596,2830,-72.54956,41.25978,-75.95724,37.1499,2015-10-23,2015-11-30
"2596.3192","4352","15560","LineString","166.38","49",2596,3192,-72.54956,41.25978,-74.5417,4.3224,2015-10-02,2016-03-17
"2596.3468","4352,4467,336,2242,4462,5437,5422,5422,5427","15560,16820,15570,3580,16820,18950,18950,18950,18950","LineString","166.38","29,45,49,72,86",3468,2596,-72.163,41.1894,-72.54956,41.25978,2015-10-02,2015-10-23
"2596.3577","5433","18950","LineString","166.38","29",3577,2596,-71.552704,41.1532,-72.54956,41.25978,2015-10-17,2015-10-18
"2596.3779","5603,5623,7734","18890,18890,4980","LineString","166.38","22,82",3779,2596,-70.5492,43.3351,-72.54956,41.25978,2015-10-23,2015-11-12
"2596.3842","7730","4980","LineString","166.38","82",3842,2596,-70.5817,43.2819,-72.54956,41.25978,2015-11-09,2015-11-15
"2601.2601","4928","16820","LineString","166.38","86",2601,2601,-70.0637,41.3073,-70.0637,41.3073,2014-10-13,2014-10-14
"2601.2604","1929,1366,1346,693,2246","4690,4180,4690,4670,3580","LineString","166.38","15,25,27,45,110",2604,2601,-69.9869,41.6088,-70.0637,41.3073,2015-08-22,2015-10-15
"2601.2608","1717,1931,5544,15426","4760,4690,41384,4180","LineString","166.38","25,38,74",2608,2601,-70.2436,42.0658,-70.0637,41.3073,2015-09-01,2017-09-09
"2601.2729","15389","4180","LineString","166.38","38",2601,2729,-70.0637,41.3073,-79.5371,44.0241,2017-09-28,2017-12-27
"2601.3158","1778,1722,1807,1726,1731","4760,4760,4760,4760,4760","LineString","166.38","38",2601,3158,-70.0637,41.3073,-63.9094,50.1911,2015-09-01,2015-10-26
"2601.3247","1025","4670","LineString","166.38","47",3247,2601,-81.3845,42.9538,-70.0637,41.3073,2014-05-30,2014-06-21
"2601.3268","18359","4690","LineString","166.38","88",3268,2601,-69.9724,41.9147,-70.0637,41.3073,2018-08-24,2018-08-24
