"id","dtCreated","name","shortName","shortDescription","fee_id"
0,2014-01-01,"Motus Test Project","NO_PROJ","This project should be used to verify functional updates within the live database environment",9
1,2014-01-01,"Motus Ontario Array","MotusON","Array of ~100 towers maintained by Bird Studies Canada in support of all projects.",9
2,2014-01-01,"Motus Atlantic Array","MotusATL","Array of 50+ towers maintained by Bird Studies Canada in support of all projects.",1
3,2014-01-01,"EC-Quebec-St.Laurent","Quebec","Shorebird projects based along the St.Lawrence river.
PI: Yves Aubry (Environment Canada)",3
4,2015-01-01,"Region 4 USFWS  ","USFWS_R4","Motus stations operated by Region 4 USFWS National Wildlife Refuge System.",2
5,2014-01-01,"Available","Avail","This project is available.",NA
6,2016-01-01,"Panama Gateway ","Panama","Four towers across the canal zone of Panama maintained for all to benefit by Panama Audubon and Bird Studies Canada.",NA
7,2013-01-01,"Welch","Welch","Maine Coastal Islands National Wildlife Refuge has been tagging common and Arctic terns on a number of breeding colonies in Maine since 2012.",2
8,2013-01-01,"Holberton 2013-14","HolbSESA","In 2013-14, we tracked movements of ~ 75 Semipalmated Sandpipers in Downeast Maine to better understand stopover habitat use.",NA
9,2013-01-01,"Parker River/Great Bay Refuge","Pau","Bat, shorebird, and saltmarsh sparrows nanotag projects in northeast MA and southern NH.  Originally 3 towers at Parker River NWR, 2 at Great Bay NWR.",2
10,2013-01-01,"Taylor - receivers","Taylr","Receiver array as part of projects related to Dr. Phil Taylor",NA
11,2013-01-01,"Peterson","Peter","Migratory Bat pilot project in Maine.",NA
12,2013-01-01,"Smetzer","Smetzer","Red-eyed vireos and blackpoll warblers stopover and migration at Petit Manan Wildlife Refuge in Steuben Maine. ",NA
13,2013-01-01,"Semipalmated Sandpipers in the Bay of Fundy","SESA BOF","Semipalmated Shorebird stopover and migration ecology in the Bay of Fundy.",NA
14,2013-01-01,"Loring","Loring","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast",2
15,2014-01-01,"Aubry","Aubry","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds.",NA
16,2014-01-01,"Boyles","Boyles","Bat migration and ecology in the mid-west.",NA
17,2014-01-01,"Chapman","Chapman","Shoals_2014                    ",NA
18,2013-01-01,"Dossman_Ohio","Dossman","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio.",NA
19,2015-01-01,"Dossman_Jamaica","Jamaica","Movement and space-use during the non-breeding season and migration.",1
20,2013-01-01,"Gugli","Gugli","A slough of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada.",1
21,2013-01-01,"Taylor - Gull","TaylorGull","Gull work on Sable Island 2013",NA
22,2013-01-01,"Taylor - Ipswich Sparrow","TaylorIPSP","Ipswich Sparrow survival and migratory behaviour",1
23,2014-01-01,"Motus","MotusAdmin","General project administration - mostly test tags.",NA
24,2013-01-01,"Norris","Norris","White-throated Sparrow orientation and migration studies.",NA
25,2014-01-01,"obrien","R5_SALS","Shorebird work on the Gulf of Maine.  Saltmarsh Sparrow migration project.  ",2
26,2014-01-01,"Salda - Atlantic Bank Swallows","Salda","Studying foraging and roosting habitat selection in Bank Swallows.",NA
27,2014-01-01,"Smith","PSmith","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots.",3
28,2013-01-01,"Taylor - Petrels","TaylorPetrels","Foraging behaviour or Leach's Storm Petrels in Nova Scotia",NA
29,2016-01-01,"R5_SALS","R5_SALS2","Currently only winter/spring deployments on Saltmarsh Sparrow (SALS) in South Carolina",2
30,2014-01-01,"Range Tests","test","Tags used for range tests, or not attached to organisms, but whose data are still ""real"".",NA
31,2016-01-01,"Louisiana SPDOR VHF Network","Louisiana SPDOR","Louisiana Department of Wildlife and Fisheries' Statewide Detection for Organismal Research (SPDOR) VHF Network
",1
32,2014-01-01,"Dowling","Dowling","Migratory season tracking of eastern red, hoary, and silver-haired bats to inform migration ecology and offshore wind development",NA
33,2016-01-01,"Ernst","Ernst","Fall deployments on Saltmarsh Sparrows in Rhode Island",2
34,2014-01-01,"Gratto","Gratto","Piping Plover post-breeding dispersal in Nova Scotia.",NA
35,2016-01-01,"Powdermill Nature Reserve","PARC","Studies investigating stopover ecology of migrant songbirds at Carnegie Museum of Natural History's Powdermill Avian Research Center (PARC).",1
36,2016-01-01,"Chickadee natal dispersal and social behavior","UOLavalBCCH","PIs: Julie Morand-Ferron (U of Ottawa), Andre Desrochers (U Laval).
Establishment of juvenile Black-capped Chickadees in winter flocks.
",NA
37,2014-01-01,"Wheeler - Loggerhead Shrike","OntLOSH","Captive bred Loggerhead Shrike experiment.",1
38,2014-01-01,"James Bay Shorebirds","JamesBay","Multi-agency shorebird monitoring on the western coast of James Bay.",3
39,2014-01-01,"Nol/Parada- Blackpoll Warbler Migration","NolBLPW","",NA
40,2014-01-01,"EC - Arctic Shorebirds","BurntPoint","Collective of stations throughout the Canadian arctic and subarctic in support of shorebird ecology research.",NA
41,2016-01-01,"Max Planck ","Vorneweg","Bat Tracking",NA
42,2014-01-01,"Tremblay - Boreal Woodpeckers as forest indicators","Tremblay","To be completed by PI",NA
43,2014-01-01,"Eastern Shore of Virginia National Wildlife Refuge","Denmon","1 Motus Station maintained by ESV - NWR - USFWS",2
45,2014-01-01,"Merlin","AdamSmith","Digitally-coded tags on southward migrating Merlins captured during fall on Block Island, Rhode Island ",1
46,2016-01-01,"Stutchbury - Ontario Wood Thrush","OntWOTH","Survival, dispersal, and on-set of migration for juvenile and adult Wood Thrush.",1
47,2014-01-01,"Red Knot Staging and Migration Ecology","Niles","Stopover and migration ecology of Red Knots at Delaware Bay, NJ.",9
48,2014-01-01,"Northeast Motus Collaboration","NE-Motus","A collaborative effort expanding inland Motus receiver locations throughout the Northeastern United States in support of all projects.",1
49,2015-01-01,"Thrush post-breeding ecology in Quebec","QC-Thrush","PIs: Andre Derochers (U Laval), Junior Tremblay & Yves Aubry (Env Canada)
Breeding, post-breeding, and migratory ecology of BITH, SWTH, GCTH.",3
50,2014-01-01,"Morbey - Protandry","Protandry","Protandry study on migratory warblers through Ontario. Also some data on Myotis bats on the Bruce Peninsula.",NA
51,2016-01-01,"Nol - Wintering Shorebirds","NolWS","Erica Nol -  wintering shorebirds",1
54,2015-01-01,"Indiana Bats - 2015","Indiana_bats","Indiana Bats - 2015",NA
55,2015-01-01,"Norris - MOBU 2015","NorrisMOBU","Monarch butterfly foraging and migration behaviour.",NA
56,2016-01-01,"Erie Bird Observatory - Presque Isle Migrants","PresqueIslePA","Habitat use by land birds along the Lake Erie shoreline of Pennsylvania during migration.",1
57,2015-01-01,"SELVA Colombia","SELVA","SELVA's migratory bird program includes several projects aimed at understanding stopover behavior and over-winter habitat use in Colombia.
",1
58,2015-01-01,"Semipalmated Sandpiper stopover in Plymouth, MA","Plymouth","A joint project between Manomet and MassWildlife will be deploying nanotags on SESAs in Plymouth Bay to learn more about their local stopover ecology.",NA
59,2015-01-01,"NJ Audubon - Delaware Bay Shorebirds","NJA-DEBay","Track Semipalmated Sandpipers staging in Delaware Bay during spring migration",1
60,2015-01-01,"Mitchell - Canada Warbler - Stopover Ecology","Mitchell","Stopover ecology and habitat selection and migration of Canada Warblers in southern Ontario.",NA
61,2015-01-01,"EC Auks","ECauks","Black Guillemot and Razorbill study in the Bay of Fundy.",NA
62,2015-01-01,"Western Chickadees","Course","Christopher Course - Western University Black-capped Chickadee Study",NA
63,2015-01-01,"Saskatchewan Migratory Shorebirds","USask","Shorebird stopover timing and habitat use in Saskatchewan",1
64,2014-01-01,"Ohio State University","Tonra","Rusty Blackbird stopover ecology and Black-crowned Night Heron post-fledging survival",1
65,2015-01-01,"Texas Gulf Coast Migratory Shorebirds","TXShorebirds","Stopover and migration ecology of migratory REKN and SAND on the Texas Coast.",NA
66,2015-01-01,"EBM_Coats (#66)","EBM_Coats","Arctic-breeding shorebirds captured on the nest during the breeding season between 2014-2016",1
67,2015-01-01,"Nol - Churchill Shorebirds","Churchill","Assessing Departure and Stopover Ecology of Two Species of Migrating Shorebirds
",3
68,2015-01-01,"Arctic Shorebirds - CWS Yellowknife","CWS-YK","Arctic Shorebird Monitoring Program, Canadian Wildlife Service, Northern Region",1
69,2015-01-01,"Hilliardton Marsh Research and Education Centre","Hilliardton","To be completed by PI",NA
70,2015-01-01,"Ontario Bank Swallows","ErieBANS","Tracking foraging and roosting areas of Bank Swallows nesting at aggregate pits and lake shore bluffs. ",NA
71,2015-01-01,"Migration and dispersal of bats at Lake Erie","Erie Bats","Study of bat migration, post-breeding dispersal and habitat use in Norfolk County and Long Point, Ontario.",1
72,2015-01-01,"Atlantic Canada BITH","AtlanticBITH","Post-breeding dispersal and migratory movements of Bicknell's Thrush in Atlantic Canada.",NA
73,2015-01-01,"Mississippi Clapper Rail","GulfCoastRails","Using automated telemetry to estimate seasonal and annual survivorship of Clapper Rails in emergent marshes of the northern Gulf of Mexico",NA
74,2015-01-01,"CT River Valley Migratory Songbird Study","CTRiver","Migratory passerine use of the Connecticut river valley in Massachusetts, Vermont, and New Hampshire. ",NA
75,2015-01-01,"AlaskaBats","AlaskaBats","Dr. Liam McGuire, Dr. Justin Boyles, Dr. Gary McCracken. Tracking Myotis lucifugus around Wrangell-St. Elias National Park, Alaska.",NA
76,2015-01-01,"Control of nocturnal departure times","Helgoland","To understand how the onset of nocturnal departure times is controlled in long-distance songbird migrants",1
77,2015-01-01,"NJ Chick Survival","Stantial","This project will examine factors limiting reproductive success in New Jersey.",NA
78,2015-01-01,"Atlantic Canada Shorebirds","AtlCanShorebirds","Assessing movement, habitat use and length of stay of migrating shorebirds during stop-over in Atlantic Canada. ",3
79,2013-01-01,"Kent State - Ohio Bats ","UABatMig","Using telemetry to characterize the timing and duration of spring migration of long distance migrant bats in the western basin of Lake Erie.",NA
80,2015-01-01,"Shoener Illinois Bats","Shoener","Fall migration of federally-listed bat species",NA
81,2016-01-01,"British Columbia - Lower mainland Barn Swallows","BC-BARS","Habitat use and mortality of fledgling Barn Swallows in the lower mainland",NA
82,2015-01-01,"Maine - American Woodcock","RBrownAMWO","American Woodcock",2
83,2015-01-01,"BIMYWA","BIMYWA","Digitally-coded tags on southward migrating passerines (BLPW, MYWA, HETH, REVI) captured during fall on Block Island, Rhode Island",1
