"id","dtCreated","name","shortName","shortDescription","fee_id"
206,2018-07-24,"Painted Bunting spatial use and migration patterns","UNT_PABU","Documenting the movements, territory and home range sizes of Painted buntings on their north Texas breeding grounds, and southward migration patterns.",1
207,2018-07-25,"Barn Swallows Cambridge and Toronto Zoo","BARS Migration","Studying Barn Swallow post-breeding dispersal and migration from release sites in Cambridge and Toronto Zoo.",3
208,2018-07-26,"Ontario Thrush Migration 2018","Thrush 2018","Project aimed at determining migration routes and stopover behavior of GCTH and SWTH through SW Ontario.",NA
209,2018-07-26,"WX MOBU Neonic 2018","WX_MOBU","We will outfit monarch butterflies with nanotags to determine the effect of the pesticide clothianidin on navigation and orientation.",NA
210,2018-07-27,"Missouri Motus Network","MOtus","Placing Motus receivers in Missouri.",1
211,2018-07-31,"SE Norwegian Coastline Passerines","Norway_passerine","Passerine migration behavior: tracking migration routes along the SE Norwegian coastline and use of area upon departure.",1
212,2018-08-15,"Lake Superior Migration","LakeSuperiorMig","Lake Superior tracking network",1
213,2018-08-20,"Intermountain West Collaboration - Birds","IWC birds","Intermountain West Flyway: Motus station network and collaborative bird research.",1
214,2018-08-22,"Movement Ecology of Finches in Australia 2018","Wyndham Finches 2018","Influence of fire of the movement behaviour of Gouldian and Long-tailed Finches in north-western Australia.",NA
215,2018-08-24,"SEFI - Receiver Station","SEFI","Receiver station on South East Farallon Islands. Specializing in vagrancy and orientation. Non-continuous MOTUS listening frequency.",NA
216,2018-08-24,"Skagen Bird Observatory - Receiver Station","Skagen","Receiver station situated on northern tip of Denmark. Autumn migration of passerines from Oslo Fjord and spring migration/ecological barrier studies",1
217,2018-08-28,"Lifewatch Belgium","Lifewatch","LifeWatch Belgium develops and maintains a marine observatory including sensor networks. We aspire for automated data collection and data processing.",NA
218,2018-09-04,"BIRDMOVE - Autumn songbird migration 2018","BIRDMOVE_Autumn2018","Songbirds tagged at the coast of Schleswig-Holstein (Germany) during autumn 2018",1
219,2018-09-04,"BIRDMOVE - Dunlin migration across the North Sea","BIRDMOVE_Dunlins","Dunlin migration across the North Sea",1
220,2018-09-10,"UQO toit","UQO","Antenna setup on the roof of the main building of UQO (Université du Québec en Outaouais).  Deployed and activate on July 17, 2019.",NA
221,2018-09-12,"Migratory behavior of SWTH in Western Washington","WA_SWTH","The goal of this project is to track spring migratory movements and post-breeding movements of Swainson’s Thrush in Western Washington.  ",1
222,2018-09-17,"CTT Delaware Bay Sanderling","CTTDelBaySAND","Dual-mode Motus towers in Delaware Bay",1
223,2018-09-18,"Baltic Sea Motus Network","Baltic","Array of receivers on the Swedish and Finnish coast of the Baltic Sea. Coordinated by Ottenby Bird Observatory.",1
224,2018-09-18,"CTT Montezuma NWR Tree Swallows","CTTMontezumaTRES","Tree Swallow tagging with life tags at two dual-mode Motus towers in New York at Montezuma NWR ",1
225,2018-10-24,"Connecticut Audubon Society receiver stations","DPFhs","General migration monitoring",1
226,2018-10-29,"Intermountain West Collaboration - Bats","IWC Bats","Intermountain West Flyway: Motus station network and collaborative bat research.",NA
227,2018-11-12,"Bird Migration Tracking of Offshore area in Taiwan","BMTOT","Study how migratory birds move in the coastal area in West Taiwan.",1
228,2018-11-14,"Louisiana Seaside Sparrow","LA_SESP","Assessing Seaside Sparrow abundance, distribution, annual survivorship, and productivity in southwest Louisiana",1
229,2018-11-17,"Brazil Purple Martin","BrazilPUMA","Tagging and tracking of Purple Martins in Manaus and surrounding areas.",1
230,2018-11-20,"Riverbanks Motus Tower","Riverbanks Motus","Riverbanks Motus Tower",NA
231,2018-11-30,"American Tree Sparrows - Ontario","ATSP","Winter ecology of American Tree Sparrows in Southern Ontario",3
232,2018-12-08,"Selva CAWA Colombia","CAWA_COL","Canada Warbler overwinter radio telemetry in Colombia",9
233,2018-12-14,"Craney Island Shorebird Migration Site","Craney Island","Site location established to detect migrating shorebirds that use Craney Island facility in coastal Virginia",NA
234,2019-01-03,"WGLBBO - Wisconsin Subnetwork","WGLBBO Subnet","Western Great Lakes Bird and Bat Observatory Inc. buildout of Motus stations in southern Wisconsin",1
235,2019-01-07,"Biologic - BHP","BIOBHP","An array in the NW of Western Australia",1
236,2019-01-07,"Biologic - RTIO","BIO-RTIO","An array in the NW of Western Australia",1
237,2019-01-15,"Barn Swallows in Panjin, China","CNPJ","Monitor barn swallows' activity in China.",NA
238,2019-01-22,"Vienna test","Vienna test","Test of different antenna and receiver setups for use in different projects",1
239,2019-01-25,"Brazil Non-Breeding Shorebirds","BrazilShorebirds","Tracking Shorebird Movements on Non-Breeding Grounds of Brazil",3
240,2019-02-11,"ERI","Kent Farm","Local Motus station at Kent Farm Research Station",1
241,2019-02-20,"Movement Ecology of Finches Australia 2019","AusFinch2019","",1
242,2019-02-21,"New Jersey wintering sparrows","NJ sparrows","",NA
243,2019-02-26,"Florida Aquarium","FLAQ","Migratory bird tag tracking from the Florida Aquarium Center for Conservation",NA
244,2019-03-08,"Rookery Bay Reserve Migratory Network","RBR Migration","This is an expansion of the South Florida MOTUS network. This data will be used to compliment pre-existing projects nationwide.",1
246,2019-03-19,"Clive Runnells Mad Island Marsh Preserve","Mad Island","Spring migration stopover",NA
247,2019-03-21,"Kern River Valley Tri-colored Blackbird Study","Kern TRBL","This is a pilot study to document the movements of Tri-colored Blackbirds in the Kern River Valley, California.",1
248,2019-03-31,"CTA - James Bay Array","CTA_JamesBay","An array of receivers along the eastern portion of James Bay. Operated by the Cree Trappers Association.",NA
249,2019-04-17,"Sara Lupi - GHR and migratory behavior","Sara Lupi OldCut2019","Field radio-tracking experiment to study the effects of experimentally increased ghrelin on migratory behavior",1
250,2019-04-29,"Saskatchewan Passerine Ecology","Sask Passerine","Projects investigating migration, survival and ecology of passerine birds in Saskatchewan.",3
