name,styleUrl,longitude,latitude,altitude,description,LineString/tessellate,LineString/coordinates
Point 127,#icon-1739-0288D1-nodesc,-87.3999872,44.5857845,0,,,
Point 128,#icon-1739-0288D1-nodesc,-87.0703973,45.2161109,0,,,
Point 129,#icon-1739-0288D1-nodesc,-86.7408075,45.6017519,0,,,
Point 130,#icon-1739-0288D1-nodesc,-86.2683954,45.862484,0,,,
Point 131,#icon-1739-0288D1-nodesc,-85.7630243,46.0839113,0,,,
Point 132,#icon-1739-0288D1-nodesc,-85.2576532,46.0839113,0,,,
Point 133,#icon-1739-0288D1-nodesc,-84.828663,45.98476,0,,,
Point 134,#icon-1739-0288D1-nodesc,-84.540729,46.456036,0,,,
Point 135,#icon-1739-0288D1-nodesc,-85.2246942,46.7052272,0,,,
Point 136,#icon-1739-0288D1-nodesc,-87.225727,45.707085,0,,,
Point 137,#icon-1739-0288D1-nodesc,-87.4549188,45.4478115,0,,,
Point 138,#icon-1739-0288D1-nodesc,-87.621235,45.198436,0,,,
Point 139,#icon-1739-0288D1-nodesc,-87.8614129,44.9523711,0,,,
Point 140,#icon-1739-0288D1-nodesc,-88.038716,44.763258,0,,,
Point 141,#icon-1739-0288D1-nodesc,-88.2349481,44.6639765,0,,,
Point 142,#icon-1739-0288D1-nodesc,-88.6304559,44.656162,0,,,
Point 143,#icon-1739-0288D1-nodesc,-89.0479364,44.7264543,0,,,
Point 144,#icon-1739-0288D1-nodesc,-85.620202,46.7052272,0,,,
Point 145,#icon-1739-0288D1-nodesc,-86.0816278,46.5543389,0,,,
Point 146,#icon-1739-0288D1-nodesc,-86.422204,46.4787371,0,,,
Point 147,#icon-1739-0288D1-nodesc,-86.7627801,46.5014287,0,,,
Point 148,#icon-1739-0288D1-nodesc,-87.067584,46.486302,0,,,
Point 149,#icon-1739-0288D1-nodesc,-87.4549188,46.5543389,0,,,
Point 150,#icon-1739-0288D1-nodesc,-87.7735223,46.8181173,0,,,
Point 151,#icon-1739-0288D1-nodesc,-88.1690301,46.9082592,0,,,
Point 152,#icon-1739-0288D1-nodesc,-88.539752,46.848181,0,,,
Point 153,#icon-1739-0288D1-nodesc,-89.5203485,44.7654686,0,,,
Point 154,#icon-1739-0288D1-nodesc,-89.928364,44.84121,0,,,
Point 155,#icon-1739-0288D1-nodesc,-88.2129754,47.2151021,0,,,
Point 156,#icon-1739-0288D1-nodesc,-87.9053583,47.3938983,0,,,
Point 157,#icon-1739-0288D1-nodesc,-87.594928,47.416205,0,,,
Point 158,#icon-1739-0288D1-nodesc,-88.2569208,47.4682179,0,,,
Point 159,#icon-1739-0288D1-nodesc,-88.9051141,47.0806078,0,,,
Point 160,#icon-1739-0288D1-nodesc,-89.176959,46.923268,0,,,
Point 161,#icon-1739-0288D1-nodesc,-89.4544305,46.8556945,0,,,
Point 162,#icon-1739-0288D1-nodesc,-89.8609247,46.7428832,0,,,
Point 163,#icon-1739-0288D1-nodesc,-90.2124872,46.6524639,0,,,
Point 164,#icon-1739-0288D1-nodesc,-90.5970087,46.5921002,0,,,
Point 165,#icon-1739-0288D1-nodesc,-90.8716669,46.6826205,0,,,
Point 166,#icon-1739-0288D1-nodesc,-90.435956,47.055984,0,,,
Point 167,#icon-1739-0288D1-nodesc,-90.3443231,47.7644486,0,,,
Point 168,#icon-1739-0288D1-nodesc,-89.8609247,47.8898386,0,,,
