deploymentID,tag_deploy_id,species_id
6121,27191,NULL
4250,14991,10220
4218,21310,4670
4130,19163,36704
3861,37104,15651
5925,35373,19030
4788,25458,4180
6043,27864,NULL
7857,20436,15600
4787,12959,2720
3789,4368,16820
4962,19768,121310
6185,30491,45843
5833,28212,7720
4629,19335,4180
4150,20349,14250
7255,32371,4610
2332,6029,35407
2666,4405,16820
3938,24728,14250
7695,36737,252456
4094,9367,4670
5052,23532,4670
2686,4352,15560
4315,32367,4610
4532,26131,42067
2840,5963,18890
3278,22727,4670
7613,31795,4670
4498,28174,42067
4343,29799,42067
4310,34442,123690
7992,34081,35407
5432,19390,4670
4520,18577,4070
2120,7614,14250
4640,32596,3830
5150,27440,NULL
7454,34039,5570
5604,36921,15651
4721,20923,4670
5328,22190,15580
5160,22689,4820
2378,251,123940
4364,19923,36466
5677,26441,14120
7693,36915,15651
2216,2334,124780
5345,24552,14250
6054,36416,15651
3612,7103,18950
3371,8258,4690
4233,13688,15580
5473,26773,38804
7987,34361,14250
2644,4396,16620
3802,19772,35912
5376,24203,45874
4167,21652,4690
2549,7619,14250
3156,579,4670
4563,16476,15560
4275,7410,4760
6175,34641,7720
3606,4986,16820
3942,11949,42068
6055,36417,15651
3376,8241,4750
7417,22980,19650
4532,19161,36704
4725,24758,14250
4851,20908,4670
7405,30966,20300
4532,16705,15651
4795,22664,4820
7684,39151,16570
4777,21961,4670
5056,21974,4670
5275,22530,4980
5414,26310,15580
5446,21388,4680
3531,11528,15580
4863,24744,14250
4047,11944,5460
4366,16628,36467
3007,6259,16940
6088,28379,4690
4479,15708,4670
1134,1605,4760
4144,10000,4690
3938,15565,18900
2580,7728,4980
3262,8762,4670
4054,17059,4690
3973,32908,NULL
5744,26785,38804
5572,35271,125480
5235,36854,16140
8574,37957,16890
2549,6162,4180
2132,1228,4670
4303,18902,15580
5002,27668,42218
0,19588,15580
3058,6495,16600
4595,20319,14250
3701,16041,35912
4364,26690,45843
2379,8101,4630
4206,12479,15580
5237,21737,3770
4468,13668,4180
5930,26388,14120
8108,35778,15590
3593,1667,4690
6014,27915,45843
6163,33659,42067
4057,27983,42067
4990,17861,4690
3932,16302,14050
4307,37616,15650
3941,16582,36704
2314,5123,19030
4256,16650,19030
3284,7652,14250
8459,35540,4760
5035,24625,18990
4694,19654,4630
3577,1702,4760
3469,10769,16610
3467,9550,15590
4016,12293,14250
7901,32832,14250
6054,30505,45843
7693,33858,42067
5151,21928,18890
6151,30078,125480
5721,26016,3830
5160,22171,16940
2161,1057,4670
6115,29528,19760
8459,35202,4690
2348,1082,4670
2773,5679,7680
7692,33722,42067
6115,36498,1260
2878,11007,18950
3594,1608,4690
754,2014,35407
3095,12259,4690
3807,27979,42067
3159,9385,4670
3582,4817,5570
6210,36129,15590
