"tagDeployId","ts1","ts2","station1","station2","is_simul"
792,1375790401,1375847526,10362,10360,FALSE
5815,1375594748,1375935591,11496,10316,FALSE
5817,1375907958,1375945838,10316,11496,FALSE
815,1375876801,1376016845,10362,10360,FALSE
795,1375790401,1376019623,10362,10360,FALSE
5906,1372872704,1376039512,10324,11104,FALSE
5944,1375752023,1376049517,11496,10316,FALSE
5818,1375770005,1376103457,10316,11496,FALSE
5927,1376125166,1376145089,10316,11178,FALSE
5814,1376196441,1376196573,10316,11496,FALSE
5815,1376203502,1376203779,10316,11496,FALSE
5907,1373359219,1376212704,10324,11496,FALSE
5907,1376215831,1376246078,11496,11178,FALSE
5907,1376247279,1376256059,11178,10330,FALSE
740,1376328407,1376330703,11594,10127,FALSE
788,1376248603,1376330825,10360,10356,FALSE
789,1375978358,1376330825,10360,10356,FALSE
791,1376285085,1376330827,10360,10356,FALSE
5907,1376258648,1376331463,10330,11280,FALSE
797,1376284331,1376343536,10360,10356,FALSE
787,1376254379,1376344261,10360,10356,FALSE
786,1376346620,1376377277,10360,10362,FALSE
793,1376371764,1376409095,10360,10362,FALSE
792,1376283810,1376371953,10360,10356,FALSE
792,1376372069,1376372353,10356,10362,FALSE
792,1376372353,1376641491,10362,10356,FALSE
797,1376373317,1376373465,10356,10362,FALSE
797,1376373465,1376642159,10362,10356,FALSE
791,1376374227,1376374707,10356,10362,FALSE
791,1376374707,1376657118,10362,10356,FALSE
786,1376377277,1376528556,10362,10356,FALSE
5789,1376395081,1376395102,11144,10324,FALSE
5793,1376395501,1376395502,11144,10324,FALSE
5811,1376396281,1376396290,11144,10324,FALSE
5772,1376397901,1376397907,11144,10324,FALSE
5786,1376399401,1376399408,11144,10324,FALSE
5785,1376396581,1376400184,11144,10324,FALSE
5791,1376402161,1376402167,11144,10324,FALSE
5792,1376403361,1376403366,11144,10324,FALSE
5771,1376403601,1376403634,11144,10324,FALSE
793,1376409095,1376657350,10362,10356,FALSE
5773,1376416381,1376416387,11144,10324,FALSE
789,1376425081,1376425293,10356,10362,FALSE
789,1376425293,1376508445,10362,10356,FALSE
5794,1376425441,1376426030,11144,10324,FALSE
5912,1375724422,1376435363,10324,11144,FALSE
5817,1375946554,1376439048,11496,10316,FALSE
836,1376380470,1376439521,10378,10373,FALSE
5815,1376203923,1376445380,11496,10316,FALSE
5814,1376196661,1376448423,11496,10316,FALSE
5781,1376482021,1376483175,11144,10324,FALSE
5780,1376482981,1376482995,11144,10324,FALSE
5790,1376483384,1376738889,11144,10324,FALSE
