stationID,projectID,stationName,latitude,longitude,station_status
11103,48,Marshlands 2,40.12710000,-75.76920000,1
11104,10,MART,44.68780000,-63.14570000,1
11105,193,Mary Gray Bird Sanctuary Indiana,39.59020000,-85.22580000,2
11106,168,McGill_Bird_Observatory,45.43070000,-73.93850000,1
11107,210,MDC HURLEY,36.94190000,-93.46400000,2
11108,210,MDC JENKINS,36.82490000,-93.72570000,2
11109,210,MDC JOPLIN,36.94980000,-94.51560000,2
11110,210,MDC TEN MILE POND,36.73960000,-89.31220000,2
11111,2,Middle Ohio,43.92470000,-65.40420000,1
11112,16,MIDFORK2,40.38573100,-87.97970000,1
11113,47,Mispillion,38.94790000,-75.31520000,2
11114,14,MNTK,41.05910000,-71.86910000,2
11115,14,MNYN,41.60880000,-69.98680000,2
11116,64,Mound West,41.63080000,-83.25550000,1
11117,48,Mt. Davis,39.80650000,-79.17310000,2
11118,147,Muleshoe NWR,33.96620000,-102.74540000,1
11119,14,MUSK,41.33730000,-70.30480000,1
11120,54,N3 Chapman,41.27450000,-85.80200000,1
11121,14,NAPA,41.30630000,-71.88380000,2
11122,14,NAPA,41.30630000,-71.88380000,0
11123,57,Necocli,8.42730000,-76.78860000,1
11124,38,Netitishi,51.29120000,-80.11670000,1
11125,14,NOMA,41.26130000,-70.81520000,2
11126,38,North Bluff,51.48400000,-80.45000000,1
11127,64,OttawaWeir,41.63940000,-83.21700000,1
11128,35,PARC Binkey,40.25090000,-79.32970000,2
11129,35,PARC Brownfield,39.81140000,-79.69100000,1
11130,78,PEINP,46.42760000,-63.18430000,1
11131,250,Peters,51.65720000,-106.64980000,1
11132,64,Pipe Creek North,41.45530000,-82.66460000,2
11133,64,Pipe Creek South,41.45531000,-82.66460000,2
11134,48,Plumer Fire Tower,41.48350000,-79.63680000,2
11135,32,PMP,44.41160000,-67.90460000,2
11136,2,Port Maitland,43.98590000,-66.15260000,2
11137,1,Priceville,44.20820000,-80.61220000,2
11138,48,Pymatuning - Ford Island,41.63670000,-80.42280000,2
11139,92,Quarry Tower,43.83890000,-80.26170000,1
11140,63,Reed West,50.39780000,-107.15050000,1
11141,151,Rg27 Tower,40.40860000,-76.71160000,2
11142,3,Riviere-Ouelle,47.42660000,-70.06110000,2
11143,1,Ruthven,42.97760000,-79.87610000,2
11144,10,Sable West Light 2,43.93200000,-60.02290000,1
11145,78,Salutation Cove,46.33810000,-63.78500000,1
11146,10,SBL_EL,43.96010000,-59.79070000,2
11147,107,SCHOODIC,44.35050000,-68.05300000,1
11148,7,Seal,43.88930000,-68.73330000,1
11149,10,Seal South,43.39470000,-66.01450000,1
11150,10,SealNorth,43.41150000,-66.00910000,2
11151,10,SealWest,43.40810000,-66.02100000,1
11152,250,SEIB,51.63390000,-105.87930000,1
11153,12,SERC,44.33560000,-68.06210000,1
11154,48,SGL 74,41.21820000,-79.31770000,2
11155,91,SMAR,44.34020000,-66.11880000,1
11156,3,St-Denis-sur-Mer,47.51540000,-69.95020000,2
11157,84,Stratford Point,41.15340000,-73.10370000,2
11158,48,Stutchbury,41.78580000,-80.01700000,2
11159,74,Sugarloaf,42.46970000,-72.59190000,1
11160,92,Sunset Farm,43.71660000,-80.33800000,1
11161,76,Sylt 1 ,54.79030000,8.28330000,2
11162,147,Tahoka Lake,33.25710000,-101.74310000,1
11163,90,Tate's Hell SF Deep ,29.85920000,-84.91230000,1
11164,213,Teller Refuge-MT,46.32360000,-114.13190000,2
11165,90,Telogia Creek,30.35490000,-84.94800000,1
11166,48,Templeton,40.90770000,-79.44360000,2
11167,78,Tintamarre,45.94070000,-64.25750000,1
11168,1,Torrance A,44.96730000,-79.51250000,1
11170,460,tve-home,34.00000000,-119.00000000,0
11171,76,Wangerooge 1 ,53.78990000,7.91990000,2
11172,74,Wantastiquet,42.85510000,-72.53810000,1
11173,248,Waskaganish,51.48810000,-78.74940000,2
11174,1,Waterford_Quarry,42.91550000,-80.31080000,1
11175,19,Watermelon Pond WMA,29.56340000,-82.61110000,2
11176,248,Wemindji,52.99800000,-78.83840000,2
