"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
2117,3472,"SHNJ",2016-09-11,2017-10-28,6,"166.38","USA","North America"
1606,3473,"NBNJ",2016-07-28,2017-11-20,6,"166.38","USA","North America"
610,3474,"CHIN",2016-07-21,2017-11-07,6,"166.38",NA,NA
1732,3475,"PARR",2016-07-22,NA,4,"166.38","USA","North America"
2147,3476,"SKID",2016-07-19,2017-11-14,6,"166.38",NA,NA
252,3477,"AVNJ",2016-08-23,NA,4,"166.38","USA","North America"
2228,3478,"Tabusintac",2016-09-16,2016-11-19,NA,NA,NA,NA
921,3480,"FM Mobile",2015-06-25,2016-09-06,1,"166.38",NA,NA
1231,3483,"Kent Island",2015-09-01,2016-07-30,2,"166.38",NA,NA
1230,3484,"Kent Island",2016-07-30,2019-06-27,3,"166.38",NA,NA
409,3485,"BPLab",2016-08-03,2016-10-30,2,"166.38",NA,NA
406,3486,"BPhill",2016-08-07,2016-10-29,3,"166.38",NA,NA
423,3487,"BPwestomni",2016-08-09,2016-10-24,2,"166.38",NA,NA
420,3488,"BPnorthomni",2016-08-10,2016-10-27,2,"166.38",NA,NA
421,3489,"BPnorthyagi",2016-08-14,2016-10-26,2,"166.38",NA,NA
2062,3490,"SealNorth",2016-08-21,2016-10-24,3,"166.38",NA,NA
2066,3491,"SealWest",2016-08-19,2016-10-24,3,"166.38",NA,NA
1216,3493,"KB-mobile",2015-08-11,2017-09-04,1,"166.38",NA,NA
1973,3495,"Russell Reid PS",2016-10-11,2020-02-24,2,"166.38","CAN","North America"
653,3497,"CORB",2016-10-04,2017-05-12,3,"166.38","CAN","North America"
2211,3509,"Sugarloaf",2016-09-15,2016-10-25,3,"166.38","USA","North America"
796,3517,"East Grand Terre",2016-10-20,NA,3,"166.38",NA,NA
2218,3518,"Sunset Farm",2016-05-13,2016-06-22,3,"166.38","CAN","North America"
2217,3523,"Sunset Farm",2016-06-22,2017-04-25,3,"166.38","CAN","North America"
557,3526,"Cayenne",2016-09-28,2019-07-15,3,"166.38","FRA","Eurasia"
1402,3527,"Mana Rice Fields",2016-10-05,2017-05-31,3,"166.38","FRA","Eurasia"
255,3528,"Awala-Yalimapo",2016-10-28,2019-07-16,3,"166.38","FRA","Eurasia"
1253,3529,"Kourou",2016-10-06,2019-07-19,4,"166.38","FRA","Eurasia"
2503,3531,"Willow Point 2016",2016-10-14,2017-09-08,2,"166.38","USA","North America"
2059,3532,"Seal South",2016-08-18,2016-10-24,3,"166.38",NA,NA
1970,3533,"Rushton Farm",2016-10-31,2017-01-12,3,"166.38","USA","North America"
1250,3536,"KOPAFSL",2016-09-26,2016-11-30,NA,NA,"NLD","Eurasia"
190,3537,"AFSL",2016-09-05,2016-11-30,NA,NA,"NLD","Eurasia"
1481,3541,"MILLBROOK",2016-10-30,2017-02-15,1,"166.38","USA","North America"
57,3542,"24_Dornumersiel",2016-08-30,2017-05-17,3,"150.1","DEU","Eurasia"
587,3547,"Chaplin North 2016",2016-05-05,2016-10-21,3,"166.38","CAN","North America"
1928,3549,"Reed West 2016",2016-04-14,2016-10-21,3,"166.38","CAN","North America"
2019,3550,"San Bernard NWR (Big Pond Unit)",2016-10-11,NA,4,"166.38","USA","North America"
1702,3551,"Palacios",2016-12-14,NA,2,"166.38","USA","North America"
