sensorID,serialNumber
2290,SG-0414BBBK0236
1482,SG-0414BBBK0361
1852,SG-0414BBBK0361
1483,SG-0414BBBK1438
2786,SG-0414BBBK1438
1484,SG-0414BBBK1631
2225,SG-0425RPI3CAF9
2614,SG-04EBRPI3F784
2116,SG-0517BBBK1111
2137,SG-0517BBBK1111_1
3429,SG-0554RPI3E2D7
3143,SG-05F2RPI327EA
557,SG-0613BB000613
1794,SG-0613BB000613
1766,SG-0613BB000648
506,SG-0613BB000731
1559,SG-0613BB000731
2157,SG-0613BB000731
499,SG-0613BB000790
559,SG-0613BB001754
1734,SG-0613BB001754
3115,SG-063CRPI3C8FD
3046,SG-068ERPI3AC48
3313,SG-0733RPI37C19
3015,SG-0765RPI37F02
3757,SG-079ARPI3DB1C
3858,SG-07DERPI34B27
2053,SG-0815BBBK0176
2336,SG-0815BBBK0176
1554,SG-0815BBBK1352
1343,SG-0815BBBK2114
2136,SG-0816BBBK009E
1742,SG-0816BBBK009F
3202,SG-0816BBBK009F
1692,SG-0816BBBK0192
2034,SG-0816BBBK01E7
2064,SG-0816BBBK0206
2318,SG-0816BBBK0241
2066,SG-0816BBBK0268
2944,SG-0816BBBK0272
2067,SG-0816BBBK0273
2074,SG-0816BBBK0310
1788,SG-0816BBBK0369
1695,SG-0816BBBK039D
1847,SG-0816BBBK03AF
2240,SG-0816BBBK03BB
1791,SG-0816BBBK03C3
1965,SG-0816BBBK03E8
2089,SG-0816BBBK03EF
2910,SG-0816BBBK03EF
2182,SG-0816BBBK0402
2288,SG-0816BBBK04A4
3356,SG-0816BBBK050B
2045,SG-0816BBBK0511
1693,SG-0816BBBK0521
1805,SG-0816BBBK0526
1694,SG-0816BBBK064C
1912,SG-0816BBBK0678
1691,SG-0816BBBK08C1
2672,SG-0816BBBK0909
2179,SG-0816BBBK0B85
2063,SG-0816BBBK0BB8
2180,SG-0816BBBK0BF7
2033,SG-0816BBBK0C16
2541,SG-0819RPI35282
3437,SG-0825RPI3D361
3499,SG-0825RPI3D361
3798,SG-0855RPI39CDE
3410,SG-08AFRPI37A7D
3789,SG-08EFRPI3829D
3626,SG-0995RPI3B6BC
3821,SG-09A3RPI300C2
3748,SG-09EFRPI3DC53
3792,SG-0AF2RPI3ABDE
3796,SG-0B2DRPI3DBAC
2230,SG-0B38RPI3475B
2469,SG-0B73RPI3F1C3
3363,SG-0BE8RPI3465E
3523,SG-0BE8RPI360D8
3449,SG-0C7DRPI32949
3456,SG-0C7DRPI32949
2437,SG-0C94RPI33358
2844,SG-0C94RPI3335E
3208,SG-0D07RPI3D711
3852,SG-0D13RPI36A9D
3831,SG-0E38RPI3CAD0
3642,SG-0E58RPI3F457
3696,SG-0E58RPI3F457
3318,SG-0EF7RPI32BB8
3463,SG-0F28RPI3130E
3610,SG-0FBARPI359DA
3665,SG-0FBARPI359DA
3509,SG-100CRPI3B939
3702,SG-100CRPI3B939
577,SG-1012BB012074
3013,SG-1012BB012074
562,SG-1012BB012075
493,SG-1012BB012085
1587,SG-1012BB012085
1815,SG-1012BB012085
1995,SG-1012BB012090
3012,SG-1012BB012090
1358,SG-1012BB012871
1929,SG-1012BB012871
521,SG-1013BB000626
1793,SG-1013BB000626
2299,SG-106ERPI31BA1
3354,SG-106ERPI31BA1
2814,SG-10CDRPI3117A
2432,SG-110BRPI371DE
2392,SG-1116BBBK0983
2306,SG-1116BBBK098F
2055,SG-1116BBBK0BE8
2309,SG-1116BBBK0C40
2054,SG-1116BBBK0CB9
2026,SG-1116BBBK0CEB
2311,SG-1116BBBK0D6A
2528,SG-1116BBBK1147
1990,SG-1116BBBK14B3
3322,SG-1124RPI35CE1
3323,SG-1124RPI35CE1
2457,SG-1127RPI34180
3391,SG-114CRPI375D9
3480,SG-114CRPI375D9
3222,SG-11A3RPI3BACB
564,SG-1212BB000222
1422,SG-1212BB000222
1543,SG-1212BB000222
497,SG-1212BB000254
1569,SG-1212BB000254
1871,SG-1212BB000254
1210,SG-1212BB000258
550,SG-1212BB000298
1816,SG-1212BB000298
565,SG-1212BB000308
1817,SG-1212BB000308
538,SG-1212BB000376
1560,SG-1212BB000376
544,SG-1212BB000386
1564,SG-1212BB000386
1808,SG-1212BB000386
