"id","english","french","scientific","code","group","sort"
36377,"Common Chiffchaff","Pouillot véloce","Phylloscopus collybita",NA,"BIRDS",12364
36466,"Eurasian Blackcap","Fauvette à tête noire","Sylvia atricapilla",NA,"BIRDS",12557
36467,"Garden Warbler","Fauvette des jardins","Sylvia borin",NA,"BIRDS",12558
36475,"Greater Whitethroat","Fauvette grisette","Sylvia communis",NA,"BIRDS",12601
14780,"House Wren","Troglodyte familier","Troglodytes aedon",NA,"BIRDS",13346
16140,"European Starling","Étourneau sansonnet","Sturnus vulgaris",NA,"BIRDS",13599
15900,"Gray Catbird","Moqueur chat","Dumetella carolinensis",NA,"BIRDS",13708
15970,"Brown Thrasher","Moqueur roux","Toxostoma rufum",NA,"BIRDS",13722
15830,"Varied Thrush","Grive à collier","Ixoreus naevius",NA,"BIRDS",13839
15550,"Veery","Grive fauve","Catharus fuscescens",NA,"BIRDS",13856
15560,"Gray-cheeked Thrush","Grive à joues grises","Catharus minimus",NA,"BIRDS",13857
15570,"Bicknell's Thrush","Grive de Bicknell","Catharus bicknelli",NA,"BIRDS",13858
15580,"Swainson's Thrush","Grive à dos olive","Catharus ustulatus",NA,"BIRDS",13861
15590,"Hermit Thrush","Grive solitaire","Catharus guttatus",NA,"BIRDS",13865
15600,"Wood Thrush","Grive des bois","Hylocichla mustelina",NA,"BIRDS",13870
15651,"Song Thrush","Grive musicienne","Turdus philomelos",NA,"BIRDS",13923
15650,"Redwing","Grive mauvis","Turdus iliacus",NA,"BIRDS",13929
45874,"Eurasian Blackbird","Merle noir","Turdus merula",NA,"BIRDS",13936
45843,"European Robin","Rougegorge familier","Erithacus rubecula",NA,"BIRDS",14324
36644,"Thrush Nightingale","Rossignol progné","Luscinia luscinia",NA,"BIRDS",14396
15270,"Bluethroat","Gorgebleue à miroir","Luscinia svecica",NA,"BIRDS",14402
36704,"Common Redstart","Rougequeue à front blanc","Phoenicurus phoenicurus",NA,"BIRDS",14506
42067,"Northern Wheatear","Traquet motteux","Oenanthe oenanthe",NA,"BIRDS",14598
16330,"Cedar Waxwing","Jaseur d'Amérique","Bombycilla cedrorum",NA,"BIRDS",14652
38789,"Masked Finch","Diamant masqué","Poephila personata",NA,"BIRDS",15264
38790,"Long-tailed Finch","Diamant à longue queue","Poephila acuticauda",NA,"BIRDS",15267
38804,"Gouldian Finch","Diamant de Gould","Erythrura gouldiae",NA,"BIRDS",15287
35912,"Dunnock","Accenteur mouchet","Prunella modularis",NA,"BIRDS",15381
20910,"House Sparrow","Moineau domestique","Passer domesticus",NA,"BIRDS",15387
16250,"Tree Pipit","Pipit des arbres","Anthus trivialis",NA,"BIRDS",15544
16290,"American Pipit","Pipit d'Amérique","Anthus rubescens",NA,"BIRDS",15561
20110,"Brambling","Pinson du Nord","Fringilla montifringilla",NA,"BIRDS",15610
20570,"Evening Grosbeak","Gros-bec errant","Coccothraustes vespertinus",NA,"BIRDS",15660
20310,"Pine Grosbeak","Durbec des sapins","Pinicola enucleator",NA,"BIRDS",15756
20300,"Brown-capped Rosy-Finch","Roselin à tête brune","Leucosticte australis",NA,"BIRDS",15795
20420,"Pine Siskin","Tarin des pins","Spinus pinus",NA,"BIRDS",15940
19160,"Chestnut-collared Longspur","Plectrophane à ventre noir","Calcarius ornatus",NA,"BIRDS",15975
19130,"McCown's Longspur","Plectrophane de McCown","Rhynchophanes mccownii",NA,"BIRDS",15977
19250,"Snow Bunting","Plectrophane des neiges","Plectrophenax nivalis",NA,"BIRDS",15979
45947,"Reed Bunting","Bruant des roseaux","Emberiza schoeniclus",NA,"BIRDS",16033
18900,"Grasshopper Sparrow","Bruant sauterelle","Ammodramus savannarum",NA,"BIRDS",16094
18780,"Clay-colored Sparrow","Bruant des plaines","Spizella pallida",NA,"BIRDS",16106
18800,"Field Sparrow","Bruant des champs","Spizella pusilla",NA,"BIRDS",16109
18840,"Lark Sparrow","Bruant à joues marron","Chondestes grammacus",NA,"BIRDS",16121
18870,"Lark Bunting","Bruant noir et blanc","Calamospiza melanocorys",NA,"BIRDS",16122
18760,"American Tree Sparrow","Bruant hudsonien","Spizelloides arborea",NA,"BIRDS",16157
42218,"Dark-eyed Junco","Junco ardoisé","Junco hyemalis",NA,"BIRDS",16164
19050,"White-crowned Sparrow","Bruant à couronne blanche","Zonotrichia leucophrys",NA,"BIRDS",16191
19030,"White-throated Sparrow","Bruant à gorge blanche","Zonotrichia albicollis",NA,"BIRDS",16204
18960,"Seaside Sparrow","Bruant maritime","Ammospiza maritima",NA,"BIRDS",16220
18940,"Nelson's Sparrow","Bruant de Nelson","Ammospiza nelsoni",NA,"BIRDS",16225
18950,"Saltmarsh Sparrow","Bruant à queue aiguë","Ammospiza caudacuta",NA,"BIRDS",16229
