speciesID,scientific,english,french,code,sort,photo,group
14320,Poecile hudsonicus,Boreal Chickadee,Mésange à tête brune,borchi2,10725,NULL,BIRDS
14780,Troglodytes aedon,House Wren,Troglodyte familier,houwre,12783,NULL,BIRDS
15050,Phylloscopus inornatus,Yellow-browed Warbler,Pouillot à grands sourcils,yebwar3,11818,NULL,BIRDS
15270,Luscinia svecica,Bluethroat,Gorgebleue à miroir,blueth,13786,NULL,BIRDS
15550,Catharus fuscescens,Veery,Grive fauve,veery,13267,NULL,BIRDS
15560,Catharus minimus,Gray-cheeked Thrush,Grive à joues grises,gycthr,13268,NULL,BIRDS
15570,Catharus bicknelli,Bicknell's Thrush,Grive de Bicknell,bicthr,13269,NULL,BIRDS
15580,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,swathr,13272,NULL,BIRDS
15590,Catharus guttatus,Hermit Thrush,Grive solitaire,herthr,13275,NULL,BIRDS
15600,Hylocichla mustelina,Wood Thrush,Grive des bois,woothr,13280,NULL,BIRDS
15650,Turdus iliacus,Redwing,Grive mauvis,redwin,13337,NULL,BIRDS
15651,Turdus philomelos,Song Thrush,Grive musicienne,sonthr1,13331,NULL,BIRDS
15830,Ixoreus naevius,Varied Thrush,Grive à collier,varthr,13252,NULL,BIRDS
15900,Dumetella carolinensis,Gray Catbird,Moqueur chat,grycat,13128,NULL,BIRDS
15970,Toxostoma rufum,Brown Thrasher,Moqueur roux,brnthr,13142,NULL,BIRDS
16140,Sturnus vulgaris,European Starling,Étourneau sansonnet,eursta,13016,NULL,BIRDS
16250,Anthus trivialis,Tree Pipit,Pipit des arbres,trepip,14896,NULL,BIRDS
16290,Anthus rubescens,American Pipit,Pipit d'Amérique,amepip,14913,NULL,BIRDS
16330,Bombycilla cedrorum,Cedar Waxwing,Jaseur d'Amérique,cedwax,14026,NULL,BIRDS
16420,Vermivora chrysoptera,Golden-winged Warbler,Paruline à ailes dorées,gowwar,15869,NULL,BIRDS
16460,Leiothlypis peregrina,Tennessee Warbler,Paruline obscure,tenwar,15880,NULL,BIRDS
16470,Leiothlypis celata,Orange-crowned Warbler,Paruline verdâtre,orcwar,15881,NULL,BIRDS
16480,Leiothlypis ruficapilla,Nashville Warbler,Paruline à joues grises,naswar,15889,NULL,BIRDS
