deploymentID,port,frequency,type,true_bearing,height,angle
5413,2,166.38,yagi-3,NULL,NULL,NULL
5413,3,166.38,yagi-3,NULL,NULL,NULL
5414,1,166.38,yagi-3,114.753,2,NULL
5414,2,166.38,yagi-3,250.753,2,NULL
5415,1,166.38,custom-9,348.8485,5.8,0
5415,3,166.38,custom-9,173.8485,7.7,0
5415,4,166.38,custom-9,244.8485,5.8,0
5415,2,166.38,custom-9,64.84853,7.7,0
5416,1,166.38,yagi-9-maple,346.743,NULL,NULL
5416,2,166.38,yagi-9-maple,241.743,NULL,NULL
5416,3,166.38,yagi-9-maple,111.743,NULL,NULL
5417,1,166.38,monopole,NULL,5.8,NULL
5417,2,166.38,yagi-9-maple,16.41248,5.2,0
5417,3,166.38,yagi-9-maple,190.4125,3.7,0
5420,1,166.38,monopole,NULL,6.4,NULL
5420,2,166.38,yagi-9-maple,332.4506,5.6,0
5420,3,166.38,yagi-9-maple,191.4505,4.7,0
5421,1,166.38,monopole,NULL,5.3,NULL
5421,2,166.38,yagi-9-maple,353.4449,4.9,0
5422,1,166.38,monopole,NULL,5.7,NULL
5423,1,166.38,monopole,NULL,6.6,NULL
5423,2,166.38,yagi-9-maple,275.4489,5.8,0
5424,1,166.38,monopole,NULL,8.5,NULL
5424,2,166.38,yagi-9-maple,53.49149,8.3,0
5424,3,166.38,yagi-9-maple,215.4915,5.7,0
5425,1,166.38,monopole,NULL,7.3,NULL
5425,2,166.38,yagi-9-maple,180.4434,6.7,NULL
5425,3,166.38,yagi-9-maple,45.44336,5.4,NULL
5427,1,166.38,yagi-9-laird,72.48544,9,NULL
5428,1,166.38,yagi-9-maple,272.2909,9,NULL
5428,2,166.38,yagi-9-maple,242.2909,8,NULL
5430,1,166.38,yagi-9-maple,2.535497,5,NULL
5430,2,166.38,yagi-9-maple,252.5355,4,NULL
5430,3,166.38,yagi-9-maple,197.5355,3.5,NULL
5431,1,166.38,yagi-9-maple,119.3315,13,90
5431,2,166.38,yagi-9-maple,349.3315,13.5,90
5431,3,166.38,yagi-9-maple,209.3315,14,90
5432,1,166.38,yagi-9-laird,263.3026,10,NULL
5432,2,166.38,yagi-9-laird,83.30261,10,NULL
5433,1,166.38,yagi-9-maple,5.572502,10,NULL
5433,2,166.38,yagi-9-maple,185.5725,10,NULL
5433,3,166.38,yagi-9-maple,95.5725,10,NULL
5433,4,166.38,yagi-9-maple,275.5725,10,NULL
5434,1,166.38,yagi-9-laird,342,0,0
5434,2,166.38,yagi-9-laird,218,0,0
5434,3,166.38,yagi-9-laird,110,0,0
5435,1,150.10,custom-6,180,2,0
5435,2,150.10,custom-6,45,2,0
5435,3,150.10,custom-6,315,2,0
5436,4,150.10,yagi-6,241.1499,NULL,NULL
5436,5,150.10,yagi-6,298.1499,NULL,NULL
5436,6,150.10,yagi-6,351.1499,NULL,NULL
5436,7,150.10,yagi-6,51.14989,NULL,NULL
5436,8,150.10,yagi-6,95.14989,NULL,NULL
5436,9,150.10,yagi-6,165.1499,NULL,NULL
5437,1,166.38,none,NULL,NULL,NULL
5437,2,166.38,none,NULL,NULL,NULL
5437,3,166.38,none,NULL,NULL,NULL
5438,1,166.38,yagi-9-maple,32.34163,6.5,NULL
5438,2,166.38,yagi-9-maple,337.3416,6,NULL
5440,1,166.38,yagi-9-laird,255.7485,NULL,NULL
5440,2,166.38,yagi-9-laird,165.7485,NULL,NULL
5440,3,166.38,yagi-9-laird,75.74847,NULL,NULL
5440,4,166.38,yagi-9-laird,345.7485,NULL,NULL
5441,1,166.38,yagi-9-maple,110.7358,10,NULL
5441,2,166.38,yagi-9-maple,230.7358,10,NULL
5441,3,166.38,yagi-9-maple,350.7358,10,NULL
5442,1,166.38,yagi-9-maple,65.01131,NULL,NULL
5442,2,166.38,yagi-9-maple,300.0113,NULL,NULL
5442,3,166.38,yagi-9-maple,179.0113,NULL,NULL
5442,4,166.38,omni-whip,NULL,NULL,NULL
5443,1,166.38,yagi-9,345.7103,11,0
5443,2,166.38,yagi-9,45.71031,11,0
5443,3,166.38,yagi-9,105.7103,11,0
5443,4,166.38,yagi-9,165.7103,11,0
5443,5,166.38,yagi-9,225.7103,11,0
5443,7,166.38,yagi-9,285.7103,11,0
5444,1,166.38,yagi-9,15.71037,11,NULL
5444,2,166.38,yagi-9,75.71037,11,NULL
5444,3,166.38,yagi-9,105.7104,11,NULL
5444,4,166.38,yagi-9,165.7104,11,NULL
5444,5,166.38,yagi-9,255.7104,11,NULL
5444,6,166.38,yagi-9,315.7104,11,NULL
5445,1,166.38,yagi-9-maple,69.10299,13,90
5445,2,166.38,yagi-9-maple,119.103,13.5,90
5445,3,166.38,yagi-9-maple,219.103,14,90
5446,1,166.38,yagi-9-laird,9.76818,NULL,NULL
5446,2,166.38,yagi-9-laird,249.7682,NULL,NULL
5446,3,166.38,yagi-9-laird,129.7682,NULL,NULL
5447,1,166.38,yagi-9-laird,9.5861,NULL,NULL
5447,2,166.38,yagi-9-laird,249.5861,NULL,NULL
5447,3,166.38,yagi-9-laird,129.5861,NULL,NULL
5448,1,166.38,custom,309.7001,NULL,NULL
5448,2,166.38,custom,189.7001,NULL,NULL
5448,3,166.38,custom,69.70013,NULL,NULL
5449,1,166.38,custom,309.5223,NULL,NULL
5449,2,166.38,custom,189.5223,NULL,NULL
5449,3,166.38,custom,69.52232,NULL,NULL
5450,1,166.38,custom,69.82387,NULL,NULL
5450,2,166.38,custom,189.8239,NULL,NULL
5450,3,166.38,custom,309.8239,NULL,NULL
5451,1,166.38,custom,69.64526,NULL,NULL
5451,2,166.38,custom,189.6453,NULL,NULL
5451,3,166.38,custom,309.6453,NULL,NULL
5452,1,166.38,custom,9.982258,NULL,NULL
5452,2,166.38,custom,249.9823,NULL,NULL
5452,3,166.38,custom,129.9823,NULL,NULL
5453,1,166.38,custom,9.793004,NULL,NULL
5453,2,166.38,custom,249.793,NULL,NULL
5453,3,166.38,custom,129.793,NULL,NULL
