stationID,date
10130,2022-05-18 19:28:18.000
10131,2022-05-21 08:01:41.000
10132,2022-04-18 17:44:00.210
10133,2022-05-21 07:08:58.000
10134,2020-07-06 01:49:39.000
10135,2022-05-17 20:57:06.163
10136,2022-05-21 06:49:08.000
10137,2022-05-21 06:49:06.000
10138,2022-05-21 07:09:07.000
10139,2022-05-18 13:37:25.000
10140,2022-05-21 06:44:08.000
10141,2022-05-17 22:31:48.000
10142,2022-05-21 06:21:00.000
10143,2020-07-14 03:49:32.000
10144,2020-10-17 22:34:04.073
10145,2022-05-21 06:44:01.000
10146,2022-04-29 10:43:03.000
10147,2022-05-21 08:51:17.173
10148,2022-05-21 07:12:18.770
10149,2022-05-04 16:37:43.670
10150,2022-05-21 06:49:01.000
10151,2022-05-21 06:25:18.000
10152,2022-05-21 06:25:18.000
10153,2020-09-06 23:59:00.000
10154,2022-05-21 06:10:58.000
10156,2020-05-23 00:00:00.000
10157,2022-05-21 08:17:11.967
10158,2022-05-13 14:38:41.000
10159,2021-11-05 14:42:09.000
10160,2022-05-21 08:53:21.517
10161,2022-05-21 07:04:06.000
10162,2021-10-20 18:28:58.000
10163,2021-11-10 15:39:39.867
10164,2022-01-27 18:55:05.430
10165,2022-05-21 07:04:06.000
10166,2021-09-27 10:41:59.000
10167,2022-02-02 16:48:20.073
10168,2022-05-21 06:54:07.000
10169,2022-05-21 06:44:07.000
10170,2021-10-19 11:13:15.337
10171,2020-09-06 23:59:00.000
10172,2020-10-22 23:36:05.470
10173,2022-05-19 16:08:36.637
10174,2021-11-15 12:48:40.580
10175,2022-05-18 05:59:21.000
10176,2022-05-21 06:53:51.000
10177,2022-02-02 21:37:17.000
10178,2021-07-15 19:00:00.000
10179,2022-05-21 08:25:05.183
10180,2021-07-17 16:58:43.040
10181,2022-05-21 06:24:07.000
10182,2021-02-18 11:54:44.597
10183,2022-05-21 09:13:36.000
10184,2020-09-22 22:25:35.257
10185,2022-05-21 06:59:10.000
10186,2022-05-21 06:18:42.470
10187,2022-05-21 06:25:17.000
10188,2022-05-21 06:52:23.000
10189,2022-05-21 08:50:58.173
10190,2022-05-21 09:19:47.450
10191,2022-04-03 10:08:30.200
10192,2022-05-21 06:18:22.667
10193,2022-05-21 06:44:07.000
10194,2022-05-21 08:27:02.690
10195,2022-05-21 07:03:00.000
10196,2022-05-21 06:49:07.033
10197,2022-05-16 11:13:06.000
10198,2022-05-21 06:40:18.537
10199,2022-05-21 06:31:03.167
10200,2021-04-29 20:00:00.000
10201,2022-05-21 06:43:32.813
10202,2022-04-01 10:46:26.000
10203,2021-04-29 15:05:21.000
10204,2022-04-01 07:44:26.000
10205,2022-05-06 20:31:16.000
10206,2022-05-18 19:27:35.000
10207,2022-05-21 07:01:18.000
10208,2022-05-21 07:04:07.000
10209,2022-04-06 16:31:12.000
10210,2021-04-29 17:28:41.000
10211,2022-02-20 23:06:44.000
10212,2022-05-16 00:11:39.993
10213,2022-05-21 06:44:06.000
10214,2022-04-28 20:35:55.493
10215,2022-01-05 17:10:23.593
10216,2022-05-01 00:57:39.070
10217,2022-05-21 08:20:38.187
10218,2021-09-09 21:57:27.000
10219,2022-05-06 16:59:29.967
10220,2022-05-21 07:00:00.000
