"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
3,35141,23049,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35142,23050,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35143,23051,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35144,23052,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35145,23053,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35146,23054,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35147,23055,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35148,23056,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35149,23057,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35150,23058,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35151,23059,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35152,23060,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35153,23061,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
153,34970,22878,"terminated",4690,2019-05-14,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34971,22879,"terminated",4690,2019-05-14,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34972,22880,"terminated",4690,2019-05-14,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34973,22881,"terminated",4690,2019-05-15,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34974,22882,"terminated",4690,2019-05-16,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34975,22883,"terminated",4690,2019-05-17,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34976,22884,"terminated",4690,2019-05-17,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34977,22885,"terminated",4690,2019-05-17,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34978,22886,"terminated",4690,2019-05-17,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34979,22887,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34980,22888,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34981,22889,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34982,22890,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34983,22891,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34984,22892,"terminated",4690,2019-05-20,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34985,22893,"terminated",4690,2019-05-21,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34986,22894,"terminated",4690,2019-05-21,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34987,22895,"terminated",4690,2019-05-21,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34988,22896,"terminated",4690,2019-05-21,2020-01-06,29.2585,-89.951,166.38,"NTQB-3-2","Lotek"
153,34989,22897,"terminated",4690,2019-05-22,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34990,22898,"terminated",4690,2019-05-22,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
153,34991,22899,"terminated",4690,2019-05-22,2020-01-06,29.6955,-92.7913,166.38,"NTQB-3-2","Lotek"
